TITLE,SCORE,UPS,VIEWS,COMMENTS,FAVORITE COUNT,LINK
Anime recommendations for everyone in 9 categories,26841,28146,1386866,2007,28513,https://i.imgur.com/NJWf0d3.jpg
So you want to get into anime?,24894,26647,298393,1614,24961,https://imgur.com/a/HgtMG
Ever watch a movie with a twist so incredible it just leaves you like:,24100,24429,505056,1132,21851,https://imgur.com/a/CXbqu
Must Watch Anime Movies,23963,24486,1270124,1221,26870,https://imgur.com/a/eKuGn
Literally only posting for my own benefit. Press 0 if you want to add to the pile of neglected lists in your favourites.,23860,25628,68187,2907,25398,https://i.imgur.com/cTYCT1y.jpg
10 Movies you'll enjoy if you like Studio Ghibli,23813,24222,290643,1149,25100,https://imgur.com/a/n5cmO
Must see anime for the slightly older audience,23744,23827,783367,2704,23162,https://imgur.com/a/PJBNl
Anime for adults (no teenagers this time),23452,24572,44703,3514,24867,https://i.imgur.com/6PFIGTd.jpg
Ten Animes for Older Audiences,23134,23103,965571,1210,24468,https://imgur.com/a/TIc9S
"ACTUALLY good anime (no moe shit, whiny teenage protagonists, or vapid bullshit)",22969,24076,645805,2071,25662,https://imgur.com/a/yQHIW
Spring 2016 Seasonal Anime!,21471,22298,335876,1042,21389,https://imgur.com/a/van3M
Anime for adults (no teenagers this time),20574,21507,64555,1407,21602,https://i.imgur.com/ANQyBqn.jpg
Anime VS Reality,20316,20152,817405,691,12053,https://imgur.com/a/VoxHX
Must Watch Anime Movies,19959,20078,754190,1163,21499,https://imgur.com/a/Wxi0C
Best anime of 2014,19939,20020,698479,1337,20511,https://imgur.com/a/CMeRz
Top Summer Anime 2015,19490,20204,1065880,1200,21846,https://imgur.com/a/W4z1X
Father and son designed anime creatures P. 2,19414,19498,225692,512,10642,https://imgur.com/a/lVEi6
You're gay~,19391,19494,625525,733,9208,https://imgur.com/a/Y55Gs
6 Short Animes That You Should Watch,19374,19325,967180,1463,18825,https://imgur.com/a/4tKgK
Must Watch Anime Movies Pt.5,19082,19239,666091,536,20453,https://imgur.com/a/oNhIp
What I Imagine Making Friends Would Be Like If I Ever Got Fit,18946,19058,656730,578,8176,http://i.imgur.com/yVBsvWlh.gif
10 More Anime for Older Audiences,18610,18706,796932,1098,19527,https://imgur.com/a/51QQs
Anime Movies you may not have seen,18393,17818,1208558,588,18040,https://imgur.com/a/9UGCL
